NAME	SALARY	TITLE
Allman, Cora Amy	$71,100	Director of the White House Visitors Office
Blossman, Robert B	$70,700	Director of Special Projects
Pitts, Gregg T	$70,000	Director of the Travel Office
Williams, Sherman A	$69,848	Assistant to the Executive Clerk
Freeman, Myra B	$68,875	Records Management Analyst
James Jr, Theodoric C	$68,875	Records Management Analyst
Neiman, Wanda M	$67,908	Assistant to the Executive Clerk
Bohn lll, Carl H	$67,900	Director of Radio and Spokesman
Breeding, Nicholas G	$67,900	Associate Director
Cossiboom, Brian S	$67,900	Associate Director
Fernandez, lvette A	$67,900	Associate Director
Kubena, Korinne A	$67,900	Associate Director
Rushton, Kerrie R	$67,900	Deputy Director of Strategic Initiatives
Deguzman Jr, Danilo	$65,967	Presidential Support Specialist
Binns, Mary U	$65,342	Special Assistant
Belter, Rachel M	$65,000	Deputy Executive Secretary
Manfredi, Stephen F	$64,800	Associate Director
Rough, Peter T	$64,800	Associate Director
Thompson, Nicholas D	$64,800	Associate Director
Parker, Doris D	$64,027	Assistant Supervisor of Classification
McArthur, Nikki L	$63,000	Speech Writer for the First Lady
Boyce, Lucas D	$62,700	Associate Director
Knutson, Lindsey L	$62,700	Special Assistant and Personal Aide to the First Lady
Lowrance, Brock A	$62,700	Associate Director
Marshall, Misty C	$62,400	Director of Correspondence for the First Lady
Casale Jr, Anthony J	$62,000	Associate Director
Wilmoth IV, Benton M	$62,000	Executive Assistant to the Chief of Staff
Trainor, Gregory T	$61,810	Manager of Mail and Messenger Operations
Drummoncl, Michael A	$60,600	Assistant Staff Secretary
Johnson, Linda M	$60,044	Shift Leader
Ohlhaut, Grace R	$60,000	Associate Director
Wheeler, Staci A	$60,000	Director of Fact Checking
Senik, Troy V	$59,600	Speechwriter
Graves, Caleb R	$58,500	Deputy Director
Clarke, Kay F	$58,277	Shift Leader
Jackson, Theresa R	$58,277	Shift Leader
Molinaro, Rachel E	$58,206	Ethics Advisor
Thornton, Julia Gabrielle	$58,206	Associate Director
Dorff, John E	$58,000	Deputy Director for Operations
Graham, Lottie B	$57,733	Assistant Shift Leader
Adams, Julie E	$57,500	Deputy Press Secretary to the First Lady
Alexander, Colleen P	$57,500	Director of Presidential Support
Brown, Thomas C	$57,500	Associate Director
Curran, Kevin H	$57,500	Associate Director
Espinoza, Meghan C	$57,500	Intern Coordinator
Freeman, Skyla M	$57,500	Assistant Staff Secretary
Jenkins, Laura M	$57,500	Executive Assistant and Director, Office of Strategic Initiatives and External Affairs
Krivijanski, Joseph R	$57,500	Director of Presidential Writers
Neale, Rebecca C	$57,500	Associate Director
Palmese, Kimberley D	$57,500	Senior Advance Representative
Shilling, Matthew R	$57,500	Associate Director
Taylor, Meghan J	$57,500	Associate Director Continuity Policy
Teague, Matthew L	$57,500	Associate Director
Wiebe, Elizabeth J	$57,500	Director, Office of Public Liaison
Yunker, Jacob H	$57,500	Associate Director
Whitley, Jared K	$57,000	Associate Director
Stefanik, Elise M	$56,400	Executive Assistant to the Deputy Chief of Staff
Miyagishima, Edward F	$56,300	Senior Advance Representative
Reaves, Karen A	$55,500	Senior Press Advance Representative
Herzog, John T	$55,400	Special Assistant to the Assistant to the President for Legislative Affairs
Lee, Anna Yim	$55,400	Deputy Director Finance
Broggi, Jeremy J	$55,000	Associate Director
Gulick, Whitney V	$55,000	Senior Press Advance Representative
King, Taeshonnda Cheralyn	$54,525	Records Management Analyst
Lezotte, Darin R	$54,525	Records Management Analyst
Mattson, Philip C	$54,525	Printer and Photograph Coordinator
Millison, Chad L	$54,525	Records Management Analyst
Samuels Jr, Wendell A	$54,525	Records Management Analyst
Young Jr, Reginald D	$54,525	Records Management Analyst
Ellis, Christopher R	$54,300	Senior Advance Representative
Gray, Jennifer	$53,300	Director of Administration
Mende, Kirstin M	$53,000	Deputy Director of Policy and Projects for the First Lady
Suskin, Jesse M	$53,000	Associate Director
Attilli, Candice L	$52,921	Assistant Shift Leader
Canery, Beverly D	$52,921	Assistant Shift Leader
Claude, Lilia H	$52,921	Assistant Shift Leader
Young, Latoya A	$52,921	Records Management Analyst
Amorsingh, Lucius Linus	$52,268	Director of Student Correspondence
Carroll, Carlton F	$52,200	Assistant Press Secretary
Etter, Marisa Leigh	$52,200	Deputy Director of Scheduling for the First Lady
King, Kristin N	$52,200	Deputy Director of Advance for the First Lady
Leonard, Joyce L	$52,200	Hotel Program Manager
Malone, Ressie L	$52,200	Special Projects Coordinator
Nufter, Aaron D	$52,200	Senior Advance Representative
Patlan, Philip A	$52,200	Director of Presidential Proclamations
Reedy, Jonathan D	$52,200	Associate Director
Scheneman, Elisabeth C	$52,200	Associate Director
Thornton, Dorothy M	$52,200	Deputy Social Secretary
Wallingford, Jane M	$52,200	Director of the Gift Office
Whitman, Zachary R	$52,200	Senior Advance Representative
Wood, Ainsley R	$52,200	Director of Agency Liaison
Byrd, Leslea T	$52,000	Executive Assistant
Hensley, Keith L	$52,000	Associate Director
Cassano, Lois A	$51,600	Press Assistant
Sass, Joan C	$51,317	Assistant Shift Leader
Lartey, Solomon D	$50,816	Records Management Analyst
Conrad, Samuel K	$50,200	Executive Assistant
Devaney, Diana T	$50,000	Communications Adviser
Dravis, Samantha K	$50,000	Associate Director
Gladney, Kathryn E	$50,000	Deputy Associate Director
Lew, Veronica J	$50,000	Associate Director
Lien, Leslie E	$50,000	Director of Comment Line Greetings and Volunteers
Rawson, Kimberly D	$50,000	Deputy Associate Director
Vaughan, Frederick W	$50,000	Associate Director
Nichols, Cherita Janelle	$49,712	Records Management Analyst
Byrne, Christopher J	$49,100	Executive Assistant
Giblet, Timothy H	$49,100	Deputy Director of Comment Line and Greetings
Fischer, Jordan M	$48,600	Senior Press Advance Representative
Montony, Adrienne Lynn	$48,100	Executive Assistant
Ward lll, Richard J	$48,100	Senior Press Advance Representative
Goodrum lll, John P	$48,000	Associate Director
lsakson, Curtis M	$48,000	Executive Assistant
Soeder, Emily R	$48,000	Executive Assistant
Beebe, Vanessa J	$47,000	Deputy Associate Director
Chaves, Ashley S	$47,000	Deputy Associate Director
Chervenak, Elizabeth W	$47,000	Media Coordinator
Dennard, Paris P	$47,000	Executive Assistant
Devuono, Amanda B	$47,000	Assistant Staff Secretary
Doffermyre, Bessie L	$47,000	West Wing Receptionist
Graham, Ashley E	$47,000	Deputy Director of Presidential Writers
Hedrick, Isma B	$47,000	Associate Director of Scheduling
Hickey Jr, James P	$47,000	Research Assistant
Larkin, Matthew P	$47,000	Associate Director
Lloyd, James R	$47,000	Deputy Associate Director
Martin, Levi D	$47,000	Director of Presidential Personal Correspondence
Meyers, David R	$47,000	Assistant Staff Secretary
Nugent, Caroline F	$47,000	Associate Director
O'Connor, Kathleen P	$47,000	Deputy Associate Director
Radford IV, Wynn L	$47,000	Senior Press Advance Representative
Robins, Michael R	$47,000	Deputy Associate Director
Segura, Millicent	$47,000	Deputy Director of Correspondence for the First Lady
Vander Veur, Justin W	$47,000	Deputy Director of Mail Analysis
Wagner, Christina A	$47,000	Executive Assistant
Walkenhorst, Katherine W	$47,000	Director of Presidential Messages
Williams, Rachel E	$47,000	Executive Assistant
Mannina, Michael A	$46,000	Deputy Associate Director
Naughton, Peter N	$46,000	Associate Director
Cummings, Aaron C	$45,000	Associate Director
Dziadosz, Anna K	$45,000	Deputy Associate Director
Levine, Steven M	$45,000	Associate Director
Smith, Barbara A	$45,000	Deputy Associate Director
Warren, Niklas S	$45,000	Associate Director
Keep, Katherine E	$44,900	Deputy Director of Proclamations
Baskerville Jr, Chester A	$44,500	Assistant Shift Leader
Vandall, Tobias A	$44,500	Assistant Shift Leader
Scott, Robbie J	$44,000	Associate Director of Scheduling
Doty, Joan R	$43,900	Senior Writer
Frick, Jean C	$43,900	Deputy Associate Director
Hickey, Ashley E	$43,900	Special Projects Coordinator
Mackintosh, Andrew y	$43,900	Assistant Staff Secretary
Dries, Brittany Anne	$43,000	Associate Director
lrons, Allison Kate	$43,000	Deputy Associate Director
Miller, Kasdin E	$43,000	Assistant Press Secretary to the First Lady
Crocker, Erica A	$42,900	Director of Legislative Correspondence
Boyer, Bradley J	$42,700	Travel Manager
Hildebrand, Katherine S	$42,700	Travel Manager
Morgan, Margaret Taylor	$42,000	Deputy Associate Director
Sendek, Sara E	$42,000	Associate Director
Whyte II, Roger J	$42,000	Travel Manager
Wilkins, Andrew W	$42,000	Deputy Director of Presidential Support
Wilsbach, Cynthia C	$42,000	Special Assistant to the Director
Anfuso, Katelyn G	$41,800	Executive Assistant to the Deputy Counsel to the President
Brady, Ryan D	$41,800	Deputy Associate Director
Coghlan, John V	$41,800	Staff Assistant
Flanagan, Molly E	$41,800	Associate Director
Merrill, Jessica O	$41,800	Staff Assistant
O'Connor, Erin M	$41,800	Executive Assistant to the Chief of Staff to the First Lady
Ray, Whitney D	$41,800	Travel Manager
Wallingford, Crystal Diane	$41,800	Executive Assistant
Warwood, Jordan L	$41,800	Executive Assistant
Bryant, Mary Jessica	$41,000	Senior Trip Coordinator
Hanson, Kerissa R	$41,000	Deputy Director of Presidential Messages
Ahrens, Rebecca A	$40,800	Operator
Siciliano, Stuart W	$40,800	Deputy Assistant Press Secretary
Cameron, Benjamin L	$40,000	Staff Assistant
Deguzman, Brian K	$40,000	Operator
Johannes, Marissa C	$40,000	Paralegal
Katz, Gena H	$40,000	Research Assistant and Junior Speechwriter
Milburn, Buckley D	$40,000	Deputy Associate Director
Pate, Brian E	$40,000	Executive Assistant
Sciarrino, Joseph G	$40,000	Deputy Associate Director
Skinner, Kathleen B	$40,000	Policy and Special Projects Coordinator
Aulds, Amanda B	$39,700	Writer
Harmon, Melanie A	$39,700	Senior Writer
Edmonds, Anita J	$39,330	Records Management Analyst
Hewell lV, Todd S	$39,000	Deputy Associate Director
Perkins, Paul R	$38,900	Paralegal
Carroll, Jamie E	$38,700	Deputy Associate Director for Invitations and Correspondence
Drummond, Matthew A	$38,700	Press Assistant
Henderson, Kristin E	$38,700	Deputy Associate Director
Lim, Richard M	$38,700	Deputy Associate Director
Maxwell, Kyle D	$38,700	Senior Scheduler
Nieto, Jeannette M	$38,700	Executive Assistant
Rodgers Jr, James P	$38,700	Deputy Associate Director
Seat, Peter A	$38,700	Press Assistant
Warren, Anthony E	$38,700	Press Assistant
Hunt, Justin T	$38,500	Deputy Associate Director
Consolvo, Brandon S	$38,000	Staff Assistant
Joo, Mee Y	$38,000	Special Projects Coordinator
Andrasek, Jaclyn E	$37,600	Deputy Director of Agency Liaison
Luck, Deatrice N	$37,600	Operator
Neely, Natasha B	$37,600	Deputy Director of the Gift Office
Watson, Takesha R	$37,600	Operator
Moore, April K	$37,500	Scheduler
Boroski, Ashley L	$37,000	Staff Assistant
Bray, Chara R	$37,000	Deputy Associate Director
Conway, Kathleen A	$36,600	Staff Assistant
Davis, Diane D	$36,600	Executive Assistant
Diaz, lvette A	$36,600	Staff Assistant
Huskey, Marcus A	$36,600	Staff Assistant
Hyatt, Loren A	$36,600	Executive Assistant
Nichols, Whitney M	$36,600	Deputy Associate Director for Press Advance
Plaisted, Margeaux D	$36,600	Staff Assistant
Traner, Jennifer L	$36,600	Trip Coordinator
Wagner, Sarah J	$36,600	Executive Assistant
Williams, Lauren E	$36,600	Executive Assistant
Dowling, Valerie L	$36,000	Staff Assistant
Adams Jr, Boyce E	$35,500	Staff Assistant
Arogeti, Scott R	$35,500	Staff Assistant
Askin, Jennifer L	$35,500	Writer
Atwater, Ashley P	$35,500	Staff Assistant
Budds, Sarah A	$35,500	Staff Assistant
Cotner, Kyle L	$35,500	Staff Assistant
Cradic lll, Harold E	$35,500	Agency Coordinator
Crowell lll, Jerry T	$35,500	Staff Assistant
Downer, Amber J	$35,500	Staff Assistant
Haggard, Matthew J	$35,500	Staff Assistant
Hart, Paul A	$35,500	Research Assistant
Hasson, Michael p	$35,500	Staff Assistant
Hawkins, Jacqueline I	$35,500	Staff Assistant
Headley, Jessica D	$35,500	Executive Assistant
Heilig, Rebecca B R	$35,500	Staff Assistant
Hensley, Jarrad C	$35,500	Editor
Juden, Courtney P	$35,500	Staff Assistant
Kielty, Meghan K	$35,500	Staff Assistant
Lane, Holly E	$35,500	Gift Analyst
Lara, Shaun M	$35,500	Writer
Mountain, Andrew L	$35,500	Staff Assistant
Moutoussis, Mary A	$35,500	Staff Assistant
O'Neill, Emily R	$35,500	Staff Assistant
Pascale, Jill U	$35,500	Correspondence Analyst
Pruski, Molly E	$35,500	Writer
Reaney-Tomaselli, Ashley C	$35,500	Writer
Rhee, Christine Y	$35,500	Staff Assistant
Rodenback, Joseph D	$35,500	Staff Assistant
Seifullah, Tariq R	$35,500	Correspondence Analyst
Shaffner, Bethany A	$35,500	Confidential Assistant
Smith, Steven P	$35,500	Scheduler
Smith, Trevor H	$35,500	Writer
Stanek, Daena M L	$35,500	Writer
Sterling, Justine M	$35,500	Staff Assistant
Voorman, David A	$35,400	Records Management Analyst
Blount, Patricia H	$35,392	Records Analyst
Hoang, Vy T	$35,392	Records Management Analyst
Wade, Frances J	$35,392	Records Management Analyst
Hawkins, Elizabeth J	$35,000	Trip Coordinator
Weber, Nathaniel J	$35,000	Writer
Knouse, Whitney A	$34,500	Staff Assistant
Lehotsky, Kaylan J	$34,300	Website Assistant
Asbenson, Kendell S	$34,000	Staff Assistant
Ballard, Matthew J	$34,000	Staff Assistant
Bamett, Susan J	$34,000	Volunteer Coordinator
Barzee, Alysia C	$34,000	Trip Coordinator
Blackburn, Merideth L	$34,000	Correspondence Analyst
Clayton, Heath H	$34,000	Correspondence Analyst
Doescher, Timothy D	$34,000	Editor
Eichelberger III, John H	$34,000	Staff Assistant
Garofano, Steven R	$34,000	Correspondence Analyst
Hawkins, Philip A	$34,000	Correspondence Analyst
Hodges, Matthew P	$34,000	Research Assistant
Howard, Benjamin R	$34,000	Staff Assistant
Jackson, Sally W	$34,000	Assistant for Arrangements
Johnson, Whitney S	$34,000	Staff Assistant
Karriker, Erin J	$34,000	Staff Assistant
Laforge, Clayton D	$34,000	Staff Assistant
McManus, John S	$34,000	Staff Assistant
Moore, Kelcey A	$34,000	Research Assistant
Shaath, Zaina A	$34,000	Gift Analyst
Swider, Joel D	$34,000	Agency Coordinator
Tomchik, Benjamin Peter	$34,000	Correspondence Analyst
Warren, Kathryn V	$34,000	Correspondence Analyst
Wenzel, Daniel A	$34,000	Staff Assistant
Palagonia, Pamela L	$33,400	Executive Assistant
Piatek, Nicholas J	$33,400	Staff Assistant
